#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-20000,1,3935.772987
-20488.281591,2,3938.89533
-21838.107456,5,3945.111872
-20000,1,3947.213385
-20000,1,3949.308561
-20000,1,3951.407499
-20975.09227,3,3955.557036
-20000,1,3957.655625
-20000,1,3959.754815
-20000,1,3961.847752
-36946.524121,33,3996.833599
-20000,1,3998.932977
-23542.575169,9,4009.244614
-20000,1,4011.335409
-28481.53228,19,4031.927033
-20000,1,4034.022939
-22607.684757,5,4040.230242
-20781.313887,2,4043.35076
-21360.552667,4,4048.528857
-20000,1,4050.623374
-20000,1,4052.720828
-23521.080048,8,4062.012667
-20000,1,4064.106771
-27274.324274,16,4081.617047
-20000,1,4083.713569
-20417.627408,2,4086.834844
-20000,1,4088.932469
-21185.93495,3,4093.080895
-20000,1,4095.17955
-20000,1,4097.27541
-20000,1,4099.373159
-20495.176217,2,4102.496985
-20766.185593,3,4106.643094
-20000,1,4108.740937
-23325.178569,8,4118.033028
-22775.899299,6,4125.265495
-20000,1,4127.364633
-20606.12481,2,4130.487475
-20000,1,4132.584951
-25953.060486,13,4146.99907
-26164.747709,13,4161.410133
-23141.672471,7,4169.499506
-20586.674001,2,4172.548701
-20000,1,4174.590027
-20000,1,4176.630392
-21316.5804,3,4180.687685
-20000,1,4182.729445
-20000,1,4184.771418
-25870.251666,13,4198.908334
-21058.332643,3,4202.965812
-20000,1,4205.007158
-20000,1,4207.047739
-20000,1,4209.089445
-20000,1,4211.129934
-20000,1,4213.171996
-20000,1,4215.212262
-22754.872949,6,4222.294037
-24920.598817,11,4234.413844
-20406.82256,2,4237.463667
-20000,1,4239.505127
-20000,1,4241.546179
-20000,1,4243.58744
-31052.812577,21,4265.864366
-20783.326682,3,4270.015103
-20000,1,4272.108776
-20000,1,4274.21638
-22752.851205,6,4281.396988
-20578.471259,2,4284.513574
-20576.340328,2,4287.639828
-22194.943135,5,4293.811102
-20000,1,4295.90902
-22688.343118,7,4304.152315
-22437.426423,7,4312.409014
-20000,1,4314.507051
-20536.60887,2,4317.630133
-20000,1,4319.720369
-20000,1,4321.820003
-22285.925351,5,4328.024364
-20000,1,4330.119012
-28395.228365,19,4350.675657
-20000,1,4352.775465
-20540.156477,2,4355.897426
-20000,1,4357.993408
-22278.017526,5,4364.188958
-23016.604511,6,4371.417055
-22861.452812,6,4378.645667
-20000,1,4380.741434
-21443.766671,3,4384.880615
-20442.095753,2,4388.012845
-22057.388626,5,4394.211581
-21409.162034,3,4398.36143
-20000,1,4400.457818
-20000,1,4402.554272
-20000,1,4404.64723
-20536.230378,2,4407.773975
-20000,1,4409.876694
-20497.462971,2,4412.997305
-20000,1,4415.089597
-21173.183815,3,4419.243346
-21236.590173,4,4424.419921
-20000,1,4426.513237
-20000,1,4428.610528
-20893.650068,2,4431.732368
-20840.027707,3,4435.877632
-22172.103724,5,4442.089188
-20948.716599,3,4446.242919
-20000,1,4448.339284
-20567.180365,2,4451.467551
-20000,1,4453.56072
-21942.900586,5,4459.734885
-33522.248726,30,4491.595358
-20000,1,4493.690903
-20000,1,4495.787229
-20449.612519,2,4498.908573
-20000,1,4501.003253
-20000,1,4503.089545
-28193.514684,16,4520.58119
-20891.555333,2,4523.711323
-20000,1,4525.808744
-20000,1,4527.906394
-20000,1,4530.006599
-20000,1,4532.104768
-20789.549781,3,4536.255542
-20000,1,4538.352604
-20503.807522,2,4541.476227
-20000,1,4543.574877
-22470.267633,6,4550.769138
-20000,1,4552.860951
-20000,1,4554.950837
-24191.743597,9,4565.275959
-20000,1,4567.368643
-21341.994164,3,4571.519674
-25717.914907,12,4584.90735
-20000,1,4587.005079
-26527.456597,13,4601.438858
-22777.91051,7,4609.672559
-20707.842235,2,4612.792357
-21757.425526,4,4617.976124
-21161.213505,3,4622.131196
-20000,1,4624.226936
-20387.368267,2,4627.349034
-20953.21506,3,4631.500986
-21151.535581,3,4635.634665
-22107.524464,5,4641.836604
-22619.020592,6,4649.070932
-21827.728906,5,4655.283605
-29106.292759,18,4674.842909
-31856.372706,23,4699.541275
-31060.965165,24,4725.238142
-20422.879034,2,4728.357741
-20000,1,4730.455
-20000,1,4732.55232
-20000,1,4734.646956
-21466.122945,4,4739.825171
-20543.316349,2,4742.953469
-20716.550315,2,4746.073334
-20000,1,4748.165746
-20579.913309,2,4751.286662
-20000,1,4753.388397
-20000,1,4755.44595
-31155.261505,24,4781.169546
-20481.393504,2,4784.28697
-20000,1,4786.340755
-20000,1,4788.434906
-21638.318893,4,4793.617425
-34955.654772,30,4825.507668
-20000,1,4827.603362
-32675.770129,27,4856.401492
-21086.739829,3,4860.552118
-20000,1,4862.646951
-22272.158923,5,4868.831453
-20000,1,4870.925092
-20000,1,4873.02574
-20000,1,4875.081932
-23522.480396,8,4884.369767
-20000,1,4886.463351
-20931.143907,3,4890.589931
-20000,1,4892.684962
-20700.571409,2,4895.803246
-22373.930346,6,4903.043463
-23579.737525,8,4912.295102
-20650.741747,2,4915.418872
-20978.230843,3,4919.566929
-20000,1,4921.662975
-22720.133321,6,4928.901487
-20000,1,4930.997549
-23146.127014,8,4940.253096
-20000,1,4942.343388
-20838.818523,3,4946.491636
-20000,1,4948.587044
-20000,1,4950.681205
-20000,1,4952.778359
-23953.467384,9,4963.091522
-21093.025083,3,4967.239108
-23412.288132,8,4976.520847
-25233.011303,11,4988.88791
-20000,1,4990.984309
-20000,1,4993.080611
-23551.104269,8,5002.330337
-20000,1,5004.425754
-20000,1,5006.526175
-20000,1,5008.622732
-20000,1,5010.717431
-20000,1,5012.809003
-21692.173484,4,5017.993185
-26149.853328,13,5032.401511
-20649.360888,2,5035.527095
-20000,1,5037.631533
-20913.028954,3,5041.780451
-20000,1,5043.877404
-20527.076892,2,5047.001462
-20000,1,5049.09754
-20000,1,5051.19309
-20000,1,5053.289047
-21476.553276,4,5058.434098
-20590.827582,2,5061.556573
-22682.902936,5,5067.757673
-20000,1,5069.850154
-35283.810501,31,5102.758196
-25529.160598,12,5116.114983
-20000,1,5118.209627
-21485.703431,3,5122.359792
-20000,1,5124.457276
-20000,1,5126.550497
-20538.596058,2,5129.671477
-20000,1,5131.769634
-32272.650058,25,5158.465506
-20000,1,5160.558974
-20000,1,5162.65912
-22115.245886,5,5168.863438
-20588.423204,2,5171.986955
-25796.933443,13,5186.389425
-20000,1,5188.488036
-20000,1,5190.580867
-21575.689942,4,5195.75694
-20000,1,5197.853329
-20000,1,5199.955086
-20000,1,5202.053378
-22938.010909,7,5210.303961
-20000,1,5212.387565
-21096.587581,3,5216.524537
-21216.504292,3,5220.67275
-20000,1,5222.77253
-31690.077605,26,5250.716871
-32368.99712,26,5278.493014
-20704.892394,2,5281.618011
-20467.543084,2,5284.743025
-20000,1,5286.843041
-22118.705772,6,5294.053756
-23844.464317,8,5303.307597
-20000,1,5305.404451
-22319.411418,5,5311.613363
-20000,1,5313.708726
-21599.043506,4,5318.887181
-21032.424438,3,5323.039685
-20000,1,5325.1203
-20000,1,5327.200651
-20000,1,5329.295103
-20401.779608,2,5332.420025
-20000,1,5334.519665
-20432.743678,2,5337.644751
-23800.286044,7,5345.900785
-20718.172245,2,5349.029277
-20000,1,5351.123067
-27477.336285,16,5368.588589
-20000,1,5370.68056
-20000,1,5372.77662
-22319.577152,5,5378.983547
-20000,1,5381.075296
-20971.345073,3,5385.206005
-23458.200381,7,5393.451311
-20000,1,5395.547377
-21070.862712,3,5399.70302
-20000,1,5401.801202
-20000,1,5403.897068
-20000,1,5405.984954
-20000,1,5408.084072
-20000,1,5410.180397
-20000,1,5412.276433
-21034.278349,3,5416.413966
-20000,1,5418.511206
-23243.601911,7,5426.759295
-27345.398935,14,5442.218769
-32475.108366,24,5467.925205
-21126.705862,3,5472.057539
-20000,1,5474.139836
-20000,1,5476.227598
-20000,1,5478.319214
-21869.482957,5,5484.527007
-22807.383321,7,5492.764633
-20000,1,5494.858895
-20000,1,5496.952049
-20000,1,5499.048202
-20454.107391,2,5502.172153
-22080.720533,5,5508.361815
-21557.186434,4,5513.538704
-21059.922445,3,5517.69006
-21870.79139,4,5522.868884
-22599.830562,6,5530.099475
-20000,1,5532.20112
-20580.936054,2,5535.307914
-20000,1,5537.398466
