#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-20659.82,10,3185.282543
-20606.58,11,3191.681072
-20645.23,7,3195.97083
-20660.95,9,3201.314082
-20829.81,9,3206.651072
-20726.83,8,3211.465261
-21154.18,15,3219.969931
-21049.4,13,3227.421165
-20641.54,12,3235.20239
-20873.03,10,3241.070179
-20978.71,11,3247.46586
-20976.43,11,3253.859698
-21147.74,14,3261.839644
-20549.2,7,3266.133698
-20541.92,10,3272.005507
-21143.36,15,3280.511586
-20906.98,10,3286.383848
-20904.22,10,3292.253888
-21079.72,12,3300.132496
-20788.22,12,3307.060295
-20665.31,9,3312.404422
-20549.94,7,3316.693511
-21064.84,12,3323.622931
-20840.49,10,3329.497059
-20705.1,10,3335.368149
-20597.44,11,3341.768054
-20879.64,15,3350.271389
-21066.36,14,3359.122602
-21130.97,15,3367.624553
-20981.1,11,3374.021758
-20920.41,11,3380.422978
-20759.03,11,3386.819912
-20644.72,7,3391.111851
-20740.46,11,3397.507716
-20503.67,7,3401.801506
-20539.66,7,3406.094993
-20681.54,11,3413.310635
-20646.73,7,3417.599639
-20579.16,11,3423.997426
-20679.24,12,3430.92296
-20652.69,15,3439.432059
-20760.44,8,3444.247391
-20700.81,8,3449.067506
-20610.24,11,3455.462167
-21112.69,14,3463.473711
-20809.09,13,3471.816571
-20777.71,12,3478.74173
-20631.29,12,3485.667765
-20740.85,8,3490.490433
-21008.9,12,3497.412928
-21072.41,12,3504.336457
-20525.6,10,3510.269257
-20905.54,16,3519.30034
-20703.81,10,3525.172698
-20567.87,6,3528.93457
-20840.46,9,3535.202029
-20830.92,13,3542.647574
-20738.65,8,3547.467705
-20546.47,7,3551.754897
-21256.91,16,3560.784783
-21149.04,14,3568.763902
-20654.4,15,3577.271107
-20404.92,5,3580.508031
-20924.43,11,3586.908087
-20629.41,15,3596.338718
-20672.7,13,3603.792497
-20602.81,8,3608.610274
-20961.68,11,3615.006765
-21104.44,13,3622.461407
-20661.37,9,3627.805064
-21101.75,13,3635.264314
-20718.89,10,3641.14162
-20702.54,10,3647.018051
-20981.42,11,3654.289935
-21215.24,16,3663.254524
-20778.32,12,3670.181613
-20887.61,11,3676.590452
-20736.92,8,3681.410115
-20982.69,11,3687.81405
-20691.77,13,3695.26571
-20969.48,11,3701.666413
-21071.15,13,3709.974656
-20751.06,8,3714.795107
-20808.7,9,3720.143652
-20700.5,10,3726.02179
-20751.48,11,3732.427357
-20932.56,11,3738.833235
-20869.91,10,3744.706465
-20658.06,9,3750.055055
-20886.39,10,3755.927063
-20723.39,15,3764.445802
-21145.47,14,3773.328304
-20531.55,6,3777.100815
-20475.43,6,3780.865229
-20739.57,11,3787.27091
-21020.25,12,3794.201624
-20625.44,7,3798.499933
-20970.05,11,3804.905426
-20658.14,9,3810.249725
-20957.25,12,3817.182191
-20661.08,9,3822.529258
-21048.37,12,3830.458941
-20712.82,8,3835.281623
-20604.71,8,3840.106156
-20924.46,11,3846.511378
-20547.53,7,3850.80857
-20837.14,9,3856.159257
-21055.35,14,3864.140137
-20704.48,10,3870.013397
-20719.46,12,3876.943317
-21129.04,14,3884.921263
-21036.46,13,3893.249048
-20838.12,10,3899.124033
-20708.13,10,3904.997009
-21026.1,12,3911.922558
-20926.29,11,3918.326537
-20315.05,4,3921.044046
-20787.25,12,3927.976724
-21046.15,12,3934.909682
-20512.66,8,3939.736861
-20401.22,5,3942.981564
-20558.7,9,3949.25827
-20544.22,7,3953.555227
-20314.29,4,3956.275243
-20311.23,4,3958.997692
-20574.85,14,3966.978489
-20960.06,12,3973.904449
-20608.9,8,3978.725164
-21082.63,15,3987.233621
-20798.88,9,3992.579252
-20799.04,9,3997.925839
-20688.72,13,4006.34277
-20692.65,11,4012.667285
-20552.23,7,4016.961861
-20648.4,7,4021.261296
-21231.5,16,4030.280515
-20616.16,8,4035.104725
-21050.36,14,4043.090423
-20378.38,5,4046.333412
-20752.06,11,4052.740764
-20596.43,10,4058.623065
-20589.4,12,4066.586307
-20940.65,11,4072.992508
-20537.0,10,4078.863821
-20928.22,11,4085.262141
-20396.21,5,4088.509221
-20704.41,11,4094.908705
-20927.25,11,4101.317638
-20825.9,9,4106.663044
-20617.42,11,4113.064829
-20980.25,13,4120.521131
-20910.04,12,4128.372368
-21088.85,13,4135.829778
-21082.07,13,4143.285904
-20597.18,13,4150.736697
-20828.72,9,4156.08764
-20648.89,7,4160.383657
-20776.68,9,4165.733263
-20652.61,7,4170.030452
-20610.22,8,4174.85738
-20593.13,10,4180.731278
-20537.41,6,4185.482197
-20751.7,8,4190.299676
-20861.65,11,4196.69852
-21018.27,13,4204.158919
-20658.76,9,4209.506432
-20715.81,10,4215.382032
-20635.32,15,4223.887601
-20528.04,10,4229.760737
-20576.74,10,4235.637348
-20651.07,7,4239.931941
-20567.45,6,4243.698043
-20930.17,12,4251.515652
-20914.95,10,4257.393828
-20656.05,7,4261.684865
-20602.9,8,4266.508565
-20604.9,8,4271.331427
-20784.59,9,4276.677052
-20659.1,9,4282.024972
-20477.72,6,4285.789711
-20549.91,12,4292.720187
-20754.08,8,4297.542562
-20804.93,17,4308.013749
-21135.92,15,4316.516499
-20806.0,15,4325.028987
-20829.48,9,4330.374252
-20746.0,8,4335.191568
-20635.93,7,4339.486366
-21058.71,14,4347.463497
-20628.04,7,4351.76052
-20602.08,8,4356.585248
-20665.42,9,4361.936811
-20747.67,11,4369.236191
-20474.69,6,4373.002575
-20311.82,4,4375.720305
-21094.0,14,4383.692554
-20745.94,11,4390.101537
-20757.57,11,4396.497883
-20906.29,11,4402.902974
-20748.08,8,4407.723418
-20887.41,10,4413.599832
-21126.06,14,4421.579241
-20660.69,9,4427.866448
-20748.91,13,4435.319927
-21181.51,15,4443.829669
-20961.78,11,4450.226227
-20812.95,9,4455.583377
-21014.84,12,4462.510472
-20747.16,8,4467.337911
-20622.2,13,4474.792972
-20606.46,8,4479.620567
-20547.17,7,4484.797736
-20641.19,14,4492.787766
-20988.6,11,4499.188154
-20705.81,8,4504.007382
-20474.9,6,4507.776334
-21020.47,12,4514.702573
-20478.81,6,4518.463575
-20876.51,10,4524.338417
-21230.31,15,4532.847888
-21040.26,14,4540.832936
-20590.71,10,4547.644932
-20994.7,12,4554.574136
-20670.81,15,4563.085924
-20549.68,12,4570.014601
-20509.72,7,4574.311785
-20667.01,15,4582.823761
-21202.83,15,4591.327572
-20398.31,5,4594.571522
-20445.78,5,4597.814687
-20705.59,13,4606.257776
-20500.9,10,4612.080374
-20880.79,15,4620.557748
-20892.7,10,4626.431676
-20641.2,13,4633.885784
-20569.58,13,4641.337129
-21022.03,12,4648.260693
-20664.88,9,4653.613468
-20653.53,14,4662.49601
-20738.25,13,4669.948539
-20667.71,12,4676.886738
-20479.56,6,4680.660371
-20694.99,12,4687.590987
-20962.38,11,4693.991684
-21199.46,16,4703.025355
-20900.75,11,4709.431337
-21109.92,14,4717.417407
-20748.89,11,4724.804696
-20911.44,10,4730.683508
-20547.96,7,4734.982768
-20613.34,8,4739.80599
-20914.33,10,4745.681318
-21138.63,17,4755.254505
-20476.59,6,4759.021231
-21095.11,14,4767.005574
-20858.91,14,4774.988436
-20731.29,8,4780.829545
-20664.69,7,4785.13242
-20792.69,9,4790.485015
-20400.28,5,4793.732574
-20867.59,10,4799.61407
-20843.8,14,4807.599789
-20656.18,9,4812.956397
-21168.92,17,4822.51632
-20597.1,10,4828.383999
-20621.25,11,4834.788131
-20670.89,20,4846.901454
-20819.68,9,4852.256369
-21055.52,12,4859.183578
-20663.32,9,4864.536922
-21079.48,13,4871.99338
-20949.31,11,4878.394726
-20701.17,10,4884.273397
-20840.63,19,4894.891323
-20821.33,9,4901.119653
-21087.53,13,4908.582555
-20990.94,12,4915.508432
-20655.51,10,4921.38941
-20732.77,12,4928.325042
-20789.67,16,4937.359339
-20833.06,9,4942.709441
-20451.35,8,4947.533277
-20476.69,6,4951.307224
-20644.32,14,4960.168763
-21063.61,13,4967.621837
